DEBUG:root:Initialization
INFO:absl:Creating mfg_crowd_modelling_2d game with parameters: {'forbidden_states': '[0|0;1|0;2|0;3|0;4|0;5|0;6|0;7|0;8|0;9|0;10|0;11|0;12|0;0|1;6|1;12|1;0|2;6|2;12|2;0|3;12|3;0|4;6|4;12|4;0|5;6|5;12|5;0|6;1|6;2|6;4|6;5|6;6|6;7|6;8|6;10|6;11|6;12|6;0|7;6|7;12|7;0|8;6|8;12|8;0|9;12|9;0|10;6|10;12|10;0|11;6|11;12|11;0|12;1|12;2|12;3|12;4|12;5|12;6|12;7|12;8|12;9|12;10|12;11|12;12|12]', 'horizon': 40, 'initial_distribution': '[1|1]', 'initial_distribution_value': '[1.0]', 'size': 13, 'only_distribution_reward': True}
INFO:absl:Using game instance: mfg_crowd_modelling_2d
DEBUG:root:ppo_br: 170.7452240582127, and nash_conv: 21.792719757225143, reward: 162.37336124766955, entropy: 1.2335063908587802
DEBUG:root:ppo_br: 169.92594087562927, and nash_conv: 25.637265286979186, reward: 162.44865034993492, entropy: 1.2310337702433267
DEBUG:root:ppo_br: 169.86364178335833, and nash_conv: 25.98516215191688, reward: 162.5086505923064, entropy: 1.2278124529382457
DEBUG:root:ppo_br: 169.62400617971753, and nash_conv: 29.544341619013494, reward: 162.57964833361038, entropy: 1.225295712592754
DEBUG:root:ppo_br: 169.97189394442245, and nash_conv: 29.69766357689619, reward: 162.63591623942057, entropy: 1.2229720740268628
DEBUG:root:ppo_br: 171.06810511013705, and nash_conv: 18.392341473385187, reward: 162.66672301000477, entropy: 1.2211203099513541
DEBUG:root:ppo_br: 171.05282894173888, and nash_conv: 17.262764286415432, reward: 162.71966009521483, entropy: 1.2193725657463075
DEBUG:root:ppo_br: 170.93241934748917, and nash_conv: 16.280497968401647, reward: 162.757503267176, entropy: 1.2183298493132872
DEBUG:root:ppo_br: 171.0559209563642, and nash_conv: 21.439024034351576, reward: 162.81200171837443, entropy: 1.216647983285097
DEBUG:root:ppo_br: 170.53557469607907, and nash_conv: 22.185052076906004, reward: 162.87788271346182, entropy: 1.2150221290453425
DEBUG:root:ppo_br: 171.022137727194, and nash_conv: 19.58477936957638, reward: 162.93398937084058, entropy: 1.2135571383767658
DEBUG:root:ppo_br: 170.84426616593734, and nash_conv: 22.306492631181072, reward: 162.98259241832386, entropy: 1.21206599148837
DEBUG:root:ppo_br: 170.42613847900694, and nash_conv: 27.78188178750355, reward: 163.03276695251466, entropy: 1.2113783993891307
DEBUG:root:ppo_br: 171.12177958410527, and nash_conv: 21.17807659296585, reward: 163.08177537349235, entropy: 1.210586817222729
